City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.72,68,100,8.8,SH,1690316619
1,tazovsky,67.4667,78.7,13.05,76,38,4.66,RU,1690316619
2,cill airne,52.05,-9.5167,14.49,89,40,1.8,IE,1690316619
3,puerto natales,-51.7236,-72.4875,0.34,79,8,2.26,CL,1690316498
4,grytviken,-54.2811,-36.5092,-3.64,80,67,4.93,GS,1690316498
5,ust-nera,64.5667,143.2,14.44,81,100,1.97,RU,1690316619
6,avarua,-21.2078,-159.775,24.03,64,40,3.09,CK,1690316534
7,dalbandin,28.8947,64.4101,28.7,62,90,5.33,PK,1690316620
8,nuuk,64.1835,-51.7216,13.34,58,0,3.6,GL,1690316620
9,malabar,-33.9667,151.25,10.44,87,20,3.6,AU,1690316620
10,waitangi,-43.9535,-176.5597,9.34,98,100,1.34,NZ,1690316620
11,lebu,-37.6167,-73.65,11.26,78,60,4.62,CL,1690316620
12,adamstown,-25.066,-130.1015,22.8,88,99,16.87,PN,1690316620
13,inongo,-1.95,18.2667,23.26,67,58,2.63,CD,1690316620
14,college,64.8569,-147.8028,25.67,68,75,3.6,US,1690316559
15,roma,43.2128,-75.4557,27.73,59,0,3.09,US,1690316620
16,longyearbyen,78.2186,15.6401,12.91,58,40,3.6,SJ,1690316549
17,udachny,66.4167,112.4,17.6,61,100,2.31,RU,1690316622
18,stanley,54.868,-1.6985,14.33,88,75,1.03,GB,1690316622
19,klyuchi,52.2667,79.1667,18.09,58,0,1.92,RU,1690316623
20,gadzhiyevo,69.2551,33.3362,9.48,97,86,2.8,RU,1690316623
21,hermanus,-34.4187,19.2345,7.11,69,0,2.8,ZA,1690316557
22,port-aux-francais,-49.35,70.2167,3.46,75,100,7.47,TF,1690316624
23,porto novo,6.4965,2.6036,24.9,86,99,2.75,BJ,1690316624
24,olonkinbyen,70.9221,-8.7187,5.43,86,100,4.12,SJ,1690316624
25,east london,-33.0153,27.9116,15.18,64,100,3.7,ZA,1690316542
26,turinskaya sloboda,57.6232,64.3858,14.51,85,6,2.65,RU,1690316625
27,khor,47.8861,134.9464,19.08,97,92,2.62,RU,1690316625
28,murud,18.3258,72.965,25.14,92,100,2.86,IN,1690316625
29,margaret river,-33.95,115.0667,12.18,83,100,7.41,AU,1690316569
30,hithadhoo,-0.6,73.0833,28.03,78,95,6.84,MV,1690316626
31,ola,59.5833,151.2833,13.04,89,23,1.19,RU,1690316597
32,la'ie,21.6477,-157.9253,29.98,73,70,7.27,US,1690316626
33,tomatlan,19.9333,-105.25,34.14,49,95,3.61,MX,1690316626
34,nagqu,31.5,92.0,5.54,93,100,1.78,CN,1690316626
35,mata-utu,-13.2816,-176.1745,26.79,74,100,7.08,WF,1690316626
36,la ronge,55.1001,-105.2842,25.14,38,75,7.2,CA,1690316627
37,al jubayl,27.0112,49.6583,33.55,51,46,3.29,SA,1690316627
38,bodo,67.28,14.405,17.75,85,0,1.03,NO,1690316627
39,tommot,58.9564,126.2925,16.15,95,32,0.5,RU,1690316627
40,iqaluit,63.7506,-68.5145,5.85,86,100,2.06,CA,1690316627
41,i-n-salah,27.1935,2.4607,40.48,5,0,3.48,DZ,1690316627
42,acarau,-2.8856,-40.12,27.68,68,7,8.12,BR,1690316625
43,papatowai,-46.5619,169.4708,5.81,76,80,5.44,NZ,1690316505
44,wailua homesteads,22.0669,-159.378,28.44,79,75,7.2,US,1690316628
45,yellowknife,62.456,-114.3525,25.31,27,75,10.29,CA,1690316628
46,peace river,56.2501,-117.286,19.17,77,100,6.69,CA,1690316434
47,dompu,-8.5356,118.4622,20.87,95,8,1.05,ID,1690316628
48,otaru,43.1894,141.0022,24.21,95,97,1.41,JP,1690316628
49,carnarvon,-24.8667,113.6333,17.65,58,66,8.36,AU,1690316605
50,atafu village,-8.5421,-172.5159,29.05,70,11,8.77,TK,1690316628
51,kouango,4.9934,19.9619,21.62,97,100,1.32,CF,1690316628
52,flying fish cove,-10.4217,105.6791,23.82,94,100,4.12,CX,1690316629
53,rokytne,51.2796,27.214,19.69,91,100,5.62,UA,1690316629
54,santo antonio,-6.3106,-35.4789,25.15,65,100,6.13,BR,1690316629
55,yueyang,29.3333,113.0919,24.89,91,99,1.77,CN,1690316629
56,georgetown,5.4112,100.3354,27.23,89,20,1.03,MY,1690316346
57,tiksi,71.6872,128.8694,4.98,76,38,1.7,RU,1690316564
58,ashland,40.8167,-82.2665,30.01,68,0,2.68,US,1690316629
59,sagua la grande,22.8067,-80.0756,32.55,55,40,6.67,CU,1690316629
60,raahe,64.6833,24.4833,16.65,90,8,3.21,FI,1690316629
61,malango,-2.9627,119.9001,17.78,97,40,0.88,ID,1690316630
62,bethel,41.3712,-73.414,27.6,72,75,2.06,US,1690316379
63,port mathurin,-19.6833,63.4167,23.48,77,13,7.91,MU,1690316630
64,kapsan-up,41.0903,128.2933,17.24,95,100,0.55,KP,1690316630
65,mitu,1.1983,-70.1733,22.04,99,100,0.3,CO,1690316630
66,hadibu,12.65,54.0333,25.45,76,37,10.36,YE,1690316630
67,nemuro,43.3236,145.575,16.16,100,94,1.24,JP,1690316630
68,ushuaia,-54.8,-68.3,0.81,60,40,4.12,AR,1690316567
69,albany,42.6001,-73.9662,26.23,71,100,1.46,US,1690316401
70,arambol,15.6868,73.7045,24.94,88,100,6.71,IN,1690316631
71,panaba,21.2833,-88.2667,35.66,42,58,8.83,MX,1690316631
72,kasganj,27.8167,78.65,27.75,84,98,3.08,IN,1690316631
73,port antonio,18.18,-76.4612,32.95,68,61,3.45,JM,1690316492
74,el calafate,-50.3408,-72.2768,-3.5,69,5,0.83,AR,1690316631
75,mugia,43.1041,-9.2179,19.39,75,86,4.81,ES,1690316631
76,buloh kasap,2.5536,102.764,24.44,84,98,1.08,MY,1690316631
77,thompson,55.7435,-97.8558,23.09,38,40,5.14,CA,1690316503
78,northam,51.0333,-4.2167,14.66,81,5,3.36,GB,1690316631
79,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1690316632
80,kiunga,-6.1219,141.2906,20.72,97,73,1.24,PG,1690316632
81,umluj,25.0213,37.2685,33.48,37,59,1.65,SA,1690316632
82,hamilton,39.1834,-84.5333,32.63,53,20,3.09,US,1690316313
83,port lincoln,-34.7333,135.8667,10.81,74,0,3.65,AU,1690316571
84,echuca,-36.1333,144.75,4.72,91,1,1.53,AU,1690316632
85,san carlos del zulia,9.0,-71.9135,34.84,46,99,2.01,VE,1690316632
